start,transcript
0:33:45,or excellent for fastball addiction was bad in practice though so taking a long time and he misses with a fast it is different.
0:34:0,But it was amazing. Third base side and foul out of play.
0:34:15,"The coolest part about batting practice was that it was him and new bar that we're hitting. They were the only ones hitting and everybody was just watching and when Shohei was done, batting practice was over. Okay team, we're ready. We're ready."
0:34:30,He hit a homer to dead center. He says we're good. Pack it up. Let's go. He got a standing ovation. From all the fans here. Just a remarkably. We haven't even talked about the pitching and the hitting combo doing things like that.
0:34:45,that nobody in the history of the game's ever done it's just on these spectacular MLB success I would be surprised about the season on the.
0:35:0,fastball here a change of account but three one and it's a strike. He was really fooled by that he throws a three one.
0:35:15,Can we see a three to the change of the plan here though too. I like the change of. Three to. Tommy. Left center field it's going to be caught.
0:35:30,Well as you describe us we're in awe as well and we're supposed to be these cool customers well we weren't earlier today.
0:35:45,video camera the phone camera out just watching him put on the show. I was in awe. Yeah and I mean we hit that last ball that line out one hundred and ten miles an hour on one handed.
0:36:0,special to down Yoshida who has a base hit already slashes that one foul off to the left he's behind in the count 0 2 at 14 years old.
0:36:15,was outstanding saw him hit a ball the other way for a homer and I knew Yep this guy is going to be able to do both things even he could not have imagined the high level success because it's it's literally a game of God.
0:36:30,It's really never happened before ever 0 2 that one is lined in the left base hit so you know she does two for two.
0:36:45,Kondo heads to third the throw comes back in towards second and Japan is threatening. I just. Talk of Morikami has not been smiling much in his.
0:37:0,four for 18 without a home run what a spot this would be for him to break out two on two out and a foul
0:37:15,He's just leaking a little bit the breaking balls got to simplify it and slow it down from it's only the fourth inning. They don't need to tie the game with one swing.
0:37:30,But a run would be a big answer on one that is a slider first right. That's a good one right there that had bite.
0:37:45,He goes back to that slider it's got to be a wasted pitch.
0:38:0,doing balls down in the zone but if you're Sandoval that's a bad slider though that's a mistake slider by Murakami
0:38:15,Now the one to that is right three passes in the NBP these days. Yamamoto his first pitch ninety five miles an hour but off the outside.
0:38:30,He throws a very unique curve ball got that he knows a grip on it basically turning his wrist over how you talked about a day one of the things that he's doing.
0:38:45,one of the best ones in the game this is down and in ball two is the two time reigning Salomone award winner.
0:39:0,which is essentially the Cy Young for both leagues best pitcher in the professional leagues two and two that's a good splitter right there see see it more as a two seamer but the action is there and the drop
0:39:15,is there to pitch Thomas strikes out swinging that's nasty on him. A lot of misses up in the zone so for Sasaki the three.
0:39:30,Three runs allowed all in one swing Austin Barnes with a foul ball and out of this game Japan trailing three nothing and really not tested at all.
0:39:45,in this little baseball classic yet they have dominated Yamamoto
0:40:0,big chopper to third fair ball long throw got him let's go back down to jp david since 2013 teams that had to make the trans-pacific flight
0:40:15,"after pool player the second round have lost every single semifinal, including Team Japan in 2013 and again in 27. Low offense was a huge concern for Team Japan."
0:40:30,to avoid a repeat here tonight a Rosarito takes a strike at ninety seven on the inside got so much you just can't you can hit all you want but it's just not the same.
0:40:45,Yeah it's a good point by both of you because it's not necessarily just the long travel and maybe the jet lag but because of the long travel you have to build in a couple of days of acclimation and those days can serve to
0:41:0,to ice an offense no matter how many practice swings you take how much batting practice just doesn't relate to real game speed pitching all to I remember I used to take thousands
0:41:15,I've seen dozens of swings in the offseason but the first time I would face a pitcher oh my goodness it was like I was learning how to walk all over again that one called a ball even though it could have been a strike it's three and one to a Rosarito.
0:41:30,the intensity it's just a lot different when it's a game speed the lights are on the players know it.
0:41:45,This is inside that's called for Time right there I Don't think there's anybody we have a lot of candidates in the u.s. Has had players who have loved this tournament we saw
0:42:0,pool play here in Miami just tremendous but I don't know if anybody's enjoyed it more than Randy Rosarito one to Alex Verdugo and I don't think it's seriously stay loose.
0:42:15,that's just him he has performed in the World Series in the playoffs in the World Baseball Classic. He does not allow the pressure of the moment to
0:42:30,It's a soft bouncer the second throw to first and play to JP for the Mexican manager Benji Hill to not only be here for the first time in the semifinals Mexico has never done this before
0:42:45,So to leave the Cactus League and come here close by the Grapefruit League and get a chance to see his kid how much sleep got to see his son. That's a lot of fun. You rarely get to see him too because he's in Arizona.
0:43:0,The sun is here for St. Lucie. Okamoto a high fly ball deep left field a Rosarito at the wall he leaves. Are you not entertained.
0:43:15,on Refolio this guy just
0:43:30,Proved to everybody that yeah he had the baseball. Wow what a catch. Line drive base hit right field. Good piece of hitting right there. Good swings here.
0:43:45,from Japan and you know he's done this a lot in this tournament. He'll come on he'll be signing autographs here. They're having a meeting on the mound during the game.
0:44:0,that's going to be a little bit of a change in the game. We'll be right back. First check. Make sure to have time to get this one side. Look at this. He does it during the game. World Baseball Classic. You get it all. He did it the other night. Why change.
0:44:15,ran out of time this is fun. Now get that runner at first one out. We don't really know if get that really fun it is.
0:44:30,first time up we're just not quite sure he can swing the bat like usual up in the order looming this the eighth place hitter some better swings against sound of all maybe a little more vulnerable. Yes there is a rain on today before the game.
0:44:45,"What do you got on Sasaki? He says, well, the only thing I got is that he's going to go home with a loss. Man, he tells you everything you need to know about the attitude. Right? They have all the confidence in the world."
0:45:0,of the world Satie was swagger right now. Even if he didn't get that swing right there on that slider that's a better slider. He's been missing at the top of the zone a lot. He was a hanging slider.
0:45:15,It's got to have died down. He's got to finish. Two and one here to the great shortstop.
0:45:30,He said he just he was not going to miss this period. Three one foul.
0:45:45,They aware of what's happening there. So here they are in the portion and I don't know how they feel playing in here right now. Oh but it looks like they know who goes substitution. There's a really good Round Ball candidate right here. Especially with this panky.
0:46:0,with his bottom hand there's definitely a lot more grip but that's open you want to stay hard with him if he's late stay hard it's a lot easier to contact rollover with a breaking ball if it's a breaking ball it's going to be a strikeout breaking ball
0:46:15,that's been working out for Mexico big pitch here three two runner goes and another ball fouled off to the left side. I would stay hard with him. That's that's kind of the go to pinky on his right hand heavily taped.
0:46:30,picked up hanging right out over the plate with it though three to no first.
0:46:45,Shimano dives back safely it's running again three to he goes and it's slashed foul again. Another fastball.
0:47:0,and the ball continues to pound the strike zone. But you're also thinking about OK if I want to strike out here the change up is the pit is the play closest that it looks to a fastball. There's no spinning ball.
0:47:15,I would think he'll stay hard continue to stay hard here. The pitch of the at bat coming but first another throw to first if you can get the swing and miss a good jump against the lefty side of all.
0:47:30,So this is it's not like this is a straight straight to him on it goes again and it is up and in for he walked in what a great way to end the game.
0:47:45,And I think that's going to be the final pitch that Patrick Sandoval throws Maki right handed hitter against Rikishi two on one out.
0:48:0,down and then he got new bar Kondo and Ohtani looming after this first pitch and the breaking ball Barnes dropped it after the swing and miss no problem.
0:48:15,He's with a good slider really got some good breaking balls a lot of good bite on the sweeper
0:48:30,There's a lot of movement down with this sinker that's the pitch right there and that sweeper it just looks like a fastball and then it go back to the sweeper you can go down under with the two seamer he's in a hole low and Maki.
0:48:45,to on the ground the shortstop not hit hard Trejo's plays to first and he just got it. Showed off a really good arm. That's big out. Runners did advance Yama.
0:49:0,Yamada to third get that to second and now the leadoff hitter has become such a big star in Japan Southern California kid playing for team
0:49:15,Japan takes a breaking ball for a strike balls but now he goes to work with the sweeper onto that back foot and it makes it look like a fastball and then it just dives into.
0:49:30,especially the left handers
0:49:45,he's come out of out of that
0:50:0,with really good control of all his pitches he's been in so many big games in his young career with Houston 0 2 just testing the waters right there with.
0:50:15,pitch again he's thrown it twice we'll take the slider the sweepers a good one here the top of the zone is really good as well one to bounce that slider and a great job by Austin brought to the two and two.
0:50:30,and nobody got to get a pitch up in the zone.
0:50:45,He's seeing him good. The approach stays the same. Gotta be up. Gotta be up.
0:51:0,Here we go full count three and to the pitch is Paul for he walked in that's a really good at bat from being 0 2 to a walk
0:51:15,He's had an excellent tournament has a base hit tonight against the starter side of all. Well he started every hitter with breaking ball. Would he do it here first pitch.
0:51:30,And that one is driven to left field a Rosarito back a Rosarito at the wall to make the catch Adam Jones himself the king of great WBC catches says Jones is no longer the man it's Randy Rosarito.
0:51:45,Moreno when it comes to great catches in this event. OK he said it. That's it. He says it. Hard to dispute. Joey Manessis on the ground down to a couple of knees.
0:52:0,And a throw to first for out number one. It's gone. It's just gone Mexico's way. The whole time. I mean every hard hit ball that Japan's hit has been right at somebody. Every bloop that Mexico's hit.
0:52:15,hit has dropped and then well you've got the good pitching as well. Yeah from Sandoval and the great catches from that guy didn't have time to sign any autographs after the second one.
0:52:30,had to come back in the dugout. He's still having fun. He is just totally relishing this chance to play.
0:52:45,here in this event there's a strike and it's one of two has become his adopted home country and you can just tell by the way he plays here how much pride he has taken in that.
0:53:0,How much he cares about Tellez goes down swinging nasty the ace of the pitching staff and Yamamoto wears number 18 kind of like in soccer wearing number 10.
0:53:15,The best player on the team is the number of distinction for the first time he had 18 and many of the other great Japanese pitchers over the years have worn it.
0:53:30,of the year on himself in a fastball count here. What do you get when it is two for two.
0:53:45,with a run scored one baby cutter right there. That's a good pitch down in a way. Fred has had two of those five hits against Roki Sasaki and he made Sasaki.
0:54:0,Maybe set the stage for his teammate who hit the three run homer after he pops this one up see if it's playable first base side foul ground it is four out number three.
0:54:15,hitters it's just different with Ohtani I haven't seen that just clobbered a line drive his last time up but it was caught.
0:54:30,So he's over to this one a big topper and a little kick foul it's going to talk to the manager the coaches they're not messing with this guy let him do his thing.
0:54:45,He lines that one in the left field and that's going to be a hit for Ohtani. From one star to another Rosarito picks it up and Ohtani tried in the same division. American League West and.
0:55:0,and not the best of it. All one. On Sataka Yoshi swings line drive singles each time up he's eight for 17 in this world baseball classic.
0:55:15,To him the attack I've got this you know he's got a good change up though he's still eager to be somebody just a quicker
0:55:30,for a lot of good swings so far though nothing to show for it still down three nothing.
0:55:45,spot in the championship game on the line and a little squib shot foul. That's a good change up right there. So now it's 2-2 let's go down to JP. What a great horn section in left field here at Lone Depot Park wherever Sam
0:56:0,Samurai Japan travels their fans go with them and there is a specific anthem that all those loyal supporters know for every single player in the lineup and here they are singing their song for Yoshida with some gusto.
0:56:15,two to two big chopper the first backhand by Manassas gets the out of second to throw the first down in time. Good thing he put on the eyeball.
0:56:30,You never know when you need it. So now we're coming over to and he struck out twice. The first pitch here he is just out of sorts of the play. They've done a good job on him.
0:56:45,anything you hit either gets caught or if you get a good pitch to hit you'll miss it.
0:57:0,the homerun Yes that was a swing
0:57:15,Really count on in the middle of this lineup. It's been a tough night for him to down.
0:57:30,Yamamoto who has had some good swings including the one last time.
0:57:45,The dugout for Mexico.
0:58:0,State instead of three 0
0:58:15,So it's to one big opening on the right side of the infield way outside with a breaking ball not close to 30 or more home runs for five straight years in Japan he takes.
0:58:30,to the ball. That's a good bad. I want to talk about how intense this inning is getting. The pitcher is pitching running on the bench trying to preserve their energy. Now a motor has got the glove just in case.
0:58:45,He's a third out but he's watching he wants to top step his teammate he's staying loose but he's he's in the top step making sure that he this is the manager and she he'll coming out to talk to her t.d. I don't know that this is this.
0:59:0,early pitching change coming. This is I want to look into your eyes and I want to know what you've got. Can you get one more guy out for me. Very stressful situation came in in a stressful situation. This is just him letting him know.
0:59:15,We live and die with you I need your best right here it's in the world baseball.
0:59:30,Classic for him not a big power hitter trying to keep the rally going to want to out takes a strike. That's a good fastball right there. You know he's been going soft especially with runners in scoring position right there changing it up.
0:59:45,up on him one ball one strike. He's having a hard time right now with that pitch.
1:0:0,That's beautiful in it out over the plate stylish hitter ball pop foul back out of play fastball on his hands. I was a good pitch right there. How you can score.
1:0:15,you can beat him up you can slow him down you can do a lot of things with him one to just he's missing big with that pitch right now that's a ball out of the hand that's.
1:0:30,Got to slow it down with that left shoulder you can go back in there if you want big pitch here action. It's 2 2 so many women throw many big pitchers number five
1:0:45,He tried he tried to go back in there he just rushed it a little bit.
1:1:0,homers the lead can get to head
1:1:15,There they go three to his ball for he tried that breaking ball right now he just does not have a feel for that pitch the bases are loaded.
1:1:30,L'Olympique de Marseille est le plus grand stade de la Ligue des Nations. L'Olympique de Marseille est le plus grand stade de la Ligue des Nations.
1:1:45,so another opportunity third inning in a row where Japan another big opportunity though for Suzuki again down with a broken finger
1:2:0,Trying to come through he takes inside ball one. He worked it really at bat and finally drew a walk his last time up. He saw a lot of fastballs in the prior at bat. He was late on everything.
1:2:15,So a fastball there but it missed one of the bases loaded two down and a strike that's a good change up and more than not.
1:2:30,That one is hit down the left field line a Rosarito on the move. The Rosarito will get there and make the. It's three nothing thanks to the guy at the plate Luis Urias swings the first pitch fastball here. Mitchell.
1:2:45,You really can tell that the five days have been a test for them. And I agree with you but sometimes in this sport even good at bats don't get rewarded.
1:3:0,this time for Rios and Japan has had so early on the offense for Japan just wasn't there. Last few innings a lot of loud contact. He's having fun huh? Not one ounce of stress.
1:3:15,one out here in the seven perfect pitch from Yamamoto who's been impressive since coming in the game. Talk about it. It's just.
1:3:30,it's it's really cool to see these are the best players in the world that was we're just playing practice games getting ready for the games that really count. Yeah but they've been so sharp.
1:3:45,It feels like they're playing in the middle of July right now and it feels like October clean baseball 0 2 off the outside hitters.
1:4:0,that's making you work one to Alan Trejo has gone from 0 2 to 2 and 2.
1:4:15,They've gone for the most part away from him there's no need to leak only to think inside think if it's inside it's just more of a surprise.
1:4:30,surprise pitch they're trying. Here we go set that target in two two and he was ready for it pulled it down the left field line. That is a foul ball. Impressive. It's right.
1:4:45,balls for here and now another two two to trade off from Yamamoto Rocks back breaking ball slowly coming backlear that very back receiver is going to
1:5:0,It is a foul ball and a good decision. Very good decision right there or a commie left a lot of guys on base.
