start,transcript
3:0,加油 這一球打成了在伊麗芳身上 結果沒有接到 穿越 現在尊宗哲要一口氣往三壘來做平靜 大聯盟的花式空拋
3:9,Tino是沒有辦法把這一球給攔截 這個時候讓林立也是站上了一壘 尊宗者還在望 站上了三壘得分的大門口
3:18,速度 看起來古巴昨天速度也是蠻快的 他們還是有辦法掌握
3:27,一球傳一壘 一記合成 沒有問題 大家投手全員接冰 兩個好球沒有壞球
3:36,好球 三振出局 右半邊 又是鄭宗誠的管區接球 傳一籃
3:45,沒有問題 王維中在這個半局來上場中繼投球 乾淨俐落 投出了三上三下 Poppi要Gini
3:54,在左半邊落地 寫下安打 報告班長 二壘安打
4:3,第二回合 李震 敬禮
4:12,二壘打這球在中間方向穿越右靴沾到 張育晨意外拚本壘 被三壘直走教練擋了下來 對 合理合理
4:21,謹慎為上 得點圈之貴 吳念平這個時候已補上一戰打 站上一壘 就是今天台灣打線團隊的第四戰打
4:30,這一球打非常強勁 再走半邊 本屆賽會 四眼的第一戰打只有單友打點 現在幫助台灣隊再度站上領先位置 3比2
4:39,超前的意大利 這一棒也很強勁 中正防上 又是一支一支 繞過了三壘 又來平板壘 加速 加速
4:48,回籃 沒有問題 4比2 棒棒開 華普隆大王這個時候 一轉打 一分打點 兩分超前
4:57,意大利了 坤宇打第一球 三壘放上 結果繞了 繞了 回來 現在跑球繞過了三壘之後 繼續衝刺回到班內 第五分
5:6,沒有問題 陳傑憲也是春華的班內 攻上中華隊的第五分 繼續我們要蹦蹦開花下去
5:15,點一個飛球 不理想 不理想 林立 這球右半邊出事難打
5:24,在三壘之道加上跑壘員 繼續讓芬蕾做衝刺 這個回傳球很快 哇 第三出就出現在芬蕾這邊
5:33,是明天跟禮拜天的那個 這是一個壞球
5:42,這個時候出生沒有給 所以投出了四壞球保送 第五棒的Sullivan 這一球在中間方向打得非常強勁 出現藍打 對決
5:51,揮棒落空 關鍵的三振 送給了Freesia
6:0,在中外野方向 陸地形成藍打 現在跑壘員繞過了三壘之後 又來搶攻本壘 跑回了義大利的第三分
6:9,這球打成了在中間方向的飛球 中壘手接下出局之後選擇要起跑
6:18,在回傳球來得很快 結果沒有辦法來做一個觸殺 這位打者 中間方向很強勁的平飛球
6:27,陸地行穿的 三人雙手拋擲回來 攻向了義大利的第四分 第二次室內滾地球 地球出手 完蛋了
6:36,對 哇 這樣子要清雷了 第五分回來 現在第六分也收到了指令 要來衝本壘 第六分也回來
6:45,觀眾第一棒第二棒 揮棒落空 再次把Terry Fletcher給三陣出局 結束了這個半局義大利的攻勢
6:54,投高了 哇 坏坏坏坏 结果没有办法投出三上三下的半局
7:3,獲得了四壞球保送
7:12,是請Freesia保送上一壘
7:21,過了三壘之後又要回來本壘 攻下義大利的第七分 分打點 高飛球 糟糕了 又是沒機會囉 機會了
7:30,往後退 右外野手 最後讓你右外野手 林子瑋 秉立
7:39,宣道的絲襪球保送 這一球 打進中距在中外野發生
7:48,非常深遠的位置 往後退 有了 拜那個拜 Homerun 兩分砲
7:57,報告班長 任務達成 全部的中級球員球迷站起來 立正敬禮
8:6,水 7比7 兩隊回到了原點 再來看一下 兩分派
8:15,最後是打了一個在外角邊
8:24,天低的深卡球
8:33,球隊的攻勢囉 給守備 這一球 中間包上 傳給安打 曾經代打陣功 超出了一個安打
8:42,上一壘 把原本在一壘的承傑線推進上到得點圈 這樣會比較好 這一場 中正翻殺 出現了黑道
8:51,現在二壘上的跑者往三壘來做推進 那因為二壘上的跑者要先確定球是落地 所以陳傑現在比較安全的跑壘 先上到三壘 現在攻陣到了滿壘
9:0,一出局 富邦漢將的新任隊長 第一球出手軟弱地滾 第一球來拚速度 有一隻手接住 漏了 歐賽
9:9,第八分回來 歐賽 台灣領先 8米7 不能再高
9:18,請不吝點贊訂閱轉發打賞支持明鏡與點點欄目
9:27,然後打穿防線型專桿 張宇辰 國防部長一口氣要來到三壘 單分的大門口 吳念霆 敲出了單場個人的第二專桿
9:36,在護送國防部長來到了三壘 這一球出手 非常的深遠 非常的深遠 在轉外野方向
9:45,三分球 基里基拉果在炸裂 三分球
9:54,嗨起來 這個時候 哇 全壘打王發威了 Respect Respect
10:3,這是今天台灣隊所敲出來第三發的洪布朗
10:12,哇 不曉得該說什麼了 太嗨了 可以不用那麼緊張 可以不要那麼緊張 因為三分已經打過去了
10:21,是1比7 7-11 對 這個義大利來看看真球 達標扎實在右半邊落地 可能又是一支長檔
10:30,現在陳傑是快馬紮鞭 要抵達得別城 公式還沒有結束 八局賽我們繼續打 關島
10:39,這個時候一個抱頭 現在陳傑憲一口氣來到三壘得分的大門口 我們繼續來搶保險分
10:48,五度來站上打擊區 二壘防上 穩穩的 國防部長收球 傳一壘
10:57,一出局 One Down 一個激戰 惡戰 再來一個 投手自己下球阻你 接球傳一壘
11:6,兩中局 two down 這一球打進出去 二壘手不下去 沒有攔截
11:15,行程沒站檔沒有關係 再見三振 把這個門給關起來 漂亮
11:24,哇 宋佳豪投出了再見三陣 終於讓台灣隊壓力釋放 終場我們以11比7 擊敗了強敵義大利
11:33,終於收下了我們在本屆賽會的第一勝 現在我們也拿到了一勝一敗 三連勝就要從今晚開始
11:42,
11:51,"多謝您收睇時局新聞,再會!"
